date,amzn_close,amzn_volume,fb_close,fb_volume,intc_close,intc_volume
8/20/2015,515.780029,4408000,90.559998,44598200,27.530001,31936600
8/21/2015,494.470001,6706500,86.059998,62778700,26.559999,52288400
8/24/2015,463.369995,10097600,82.089996,83710700,26.25,83234200
8/25/2015,466.369995,5679300,83.000000,52021200,25.870001,59371900
8/26/2015,500.769989,6358600,87.190002,45124300,27.299999,47386700
8/27/2015,518.369995,6114500,89.730003,42431400,27.719999,38649400
8/28/2015,518.01001,2746700,91.010002,33215900,28.42,43452400
8/31/2015,512.890015,3002300,89.430000,32850700,28.540001,42401800
9/1/2015,496.540009,3864500,87.230003,36097400,27.82,44144000
9/2/2015,510.549988,3707100,89.889999,27190500,28.062021,34618800
9/3/2015,504.720001,3149700,88.150002,27048200,29.082021,38665900
9/4/2015,499,2692500,88.260002,27328700,28.52,29116500
9/8/2015,517.539978,3810700,89.529999,27012500,29.052021,27805000
9/9/2015,516.890015,4370700,90.440002,32551100,29.24,30774100
9/10/2015,522.23999,2576000,91.980003,26437400,29.27,25195800
9/11/2015,529.440002,3227900,92.050003,21185000,29.469999,21786900
9/14/2015,521.380005,3130200,92.309998,20127900,29.389999,24065100
9/15/2015,522.369995,2865900,92.900002,18859400,29.73,29819000
9/16/2015,527.390015,2252800,93.449997,16321200,29.77,25957800
9/17/2015,538.869995,4169500,94.339996,27841800,29.709999,29805200
9/18/2015,540.26001,6160100,94.400002,62300000,29.02,60693400
9/21/2015,548.390015,3283300,95.550003,28790000,29.16,24417100
9/22/2015,538.400024,3841700,92.959999,36888900,28.67,28576200
9/23/2015,536.070007,2237600,93.970001,21701400,28.74,25984000
9/24/2015,533.75,3501000,94.410004,29106000,28.48,32754700
9/25/2015,524.25,4031000,92.769997,28961600,28.809999,29192300
9/28/2015,504.059998,5434500,89.209999,41199900,28.76,42291000
9/29/2015,496.070007,4457500,86.669998,42281800,29.24,34169600
9/30/2015,511.890015,4004700,89.900002,36169100,30.139999,41051700
10/1/2015,520.719971,3768500,90.949997,29283700,30,29832800
10/2/2015,532.539978,4597800,92.070000,37881700,30.51,27901500
10/5/2015,543.679993,3391400,94.010002,27292500,31.209999,34842500
10/6/2015,537.47998,4502800,92.800003,22172800,31.74,34899800
10/7/2015,541.940002,3812100,92.400002,24129300,32.32,36930100
10/8/2015,533.159973,4676400,92.470001,27290500,32.52,27794600
10/9/2015,539.799988,3537400,93.239998,20012900,32.139999,24209900
10/12/2015,550.190002,2776100,94.260002,18449600,32.209999,18795000
10/13/2015,548.900024,2938000,94.120003,19480300,32.040001,35588600
10/14/2015,544.830017,3582100,94.070000,19253400,32.799999,75954800
10/15/2015,562.440002,4937000,95.959999,27557500,32.75,37634800
10/16/2015,570.76001,4315800,97.540001,25412900,33.040001,29371300
10/19/2015,573.150024,4375400,98.470001,23729900,33.59,37624000
10/20/2015,560.880005,4346200,97.000000,30881800,33.439999,24416100
10/21/2015,555.77002,3343600,97.110001,21917800,33.369999,31928800
10/22/2015,563.909973,7779400,99.669998,26392100,34.400002,39572600
10/23/2015,599.030029,10692700,102.190002,42809700,34.900002,42796600
10/26/2015,608.609985,4269700,103.769997,25961200,34.59,22646900
10/27/2015,611.01001,3787100,103.699997,23795500,34.470001,22630100
10/28/2015,617.099976,3926200,104.199997,24081500,34.709999,21908400
10/29/2015,626.549988,3896000,104.879997,20316700,34.029999,21325200
10/30/2015,625.900024,3874400,101.970001,33487100,33.860001,24693900
11/2/2015,628.349976,2816500,103.309998,24003900,34.110001,21743100
11/3/2015,625.309998,3246900,102.580002,21242300,34.310001,18167000
11/4/2015,640.950012,4840500,103.940002,43469300,34.150002,20762100
11/5/2015,655.650024,4723800,108.760002,63232900,34,16486100
11/6/2015,659.369995,4092200,107.099998,35084300,33.84,23701700
11/9/2015,655.48999,4048800,106.489998,26383500,33.349998,24168700
11/10/2015,659.679993,3489500,107.910004,25031700,33.209999,22451700
11/11/2015,673.25,5387300,109.010002,25057100,32.860001,19864700
11/12/2015,665.599976,4284700,108.019997,20924700,32.400002,23265400
11/13/2015,642.349976,6261100,103.949997,30278400,32.110001,23673200
11/16/2015,647.809998,7435900,104.040001,49309200,32.099998,29899700
11/17/2015,643.299988,4320200,105.129997,26807200,32.639999,22636400
11/18/2015,663.539978,4469800,107.769997,23836500,33.16,18619800
11/19/2015,661.27002,4705200,106.260002,25520600,34.299999,45381600
11/20/2015,668.450012,3896100,107.320000,22129600,34.66,41137700
11/23/2015,678.98999,4385100,106.949997,19897200,34.48,20152900
11/24/2015,671.150024,4543400,105.739998,23577300,34.360001,21413500
11/25/2015,675.340027,2697900,105.410004,15150800,34.450001,17939400
11/27/2015,673.26001,1966800,105.449997,5913100,34.459999,6620900
11/30/2015,664.799988,5693200,104.239998,20383200,34.77,21785800
12/1/2015,679.059998,4751200,107.120003,22781900,35.09,23560200
12/2/2015,676.01001,4273500,106.070000,24429100,34.830002,18688200
12/3/2015,666.25,5064700,104.379997,23236500,34.040001,30131100
12/4/2015,672.640015,4534800,106.180000,21224700,34.939999,24901000
12/7/2015,669.830017,3732800,105.610001,15474900,34.990002,17731900
12/8/2015,677.330017,3651900,106.489998,20401800,34.75,13380200
12/9/2015,664.789978,5158200,104.599998,23517300,34.810001,22548300
12/10/2015,662.320007,3455500,105.419998,17454300,34.77,17400700
12/11/2015,640.150024,5474400,102.120003,26427700,34.27,21251400
12/14/2015,657.909973,4329700,104.660004,24648100,34.470001,19357100
12/15/2015,658.640015,4753400,104.550003,21764300,35.18,24365900
12/16/2015,675.77002,3964500,106.790001,22680500,35.299999,23257900
12/17/2015,670.650024,3681600,106.220001,21675700,34.91,24963600
12/18/2015,664.140015,6841300,104.040001,35994200,33.869999,41336600
12/21/2015,664.51001,3250900,104.769997,16138800,34.240002,18006800
12/22/2015,663.150024,2667800,105.510002,14597100,34.73,18422000
12/23/2015,663.700012,2722900,104.629997,19599700,35,12526500
12/24/2015,662.789978,1091200,105.019997,6501800,34.98,5893800
12/28/2015,675.200012,3783600,105.930000,13069700,34.93,9449400
12/29/2015,693.969971,5735000,107.260002,17179900,35.439999,14188600
12/30/2015,689.070007,3519000,106.220001,13115000,34.990002,11566800
12/31/2015,675.890015,3749600,104.660004,18391100,34.450001,14736700
1/4/2016,636.98999,9314500,102.220001,37912400,33.990002,27882200
1/5/2016,633.789978,5822600,102.730003,23258200,33.830002,16709500
